Topic,Question,Option 1,Option 2,Option 3,Option 4,Answer
Exercise : Problems on Trains - General Questions,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120 metres,180 metres,324 metres,150 metres,150 metres
Exercise : Problems on Trains - General Questions,"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",45 km/hr,50 km/hr,54 km/hr,55 km/hr,50 km/hr
Exercise : Problems on Trains - General Questions,"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",200 m,225 m,245 m,250 m,245 m
Exercise : Problems on Trains - General Questions,Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,1 : 3,3 : 2,3 : 4,None of these,3 : 2
Exercise : Problems on Trains - General Questions,"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?",120 m,240 m,300 m,None of these,240 m
Exercise : Problems on Trains - General Questions,A train 240 m long passes a pole in 24 seconds. How long will it take to pass a platform 650 m long?,65 sec,89 sec,100 sec,150 sec,89 sec
Exercise : Problems on Trains - General Questions,Two trains of equal length are running on parallel lines in the same direction at 46 km/hr and 36 km/hr. The faster train passes the slower train in 36 seconds. The length of each train is:,50 m,72 m,80 m,82 m,50 m
Exercise : Problems on Trains - General Questions,A train 360 m long is running at a speed of 45 km/hr. In what time will it pass a bridge 140 m long?,40 sec,42 sec,45 sec,48 sec,40 sec
Exercise : Problems on Trains - General Questions,Two trains are moving in opposite directions @ 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is:,36,45,48,49,48
Exercise : Problems on Trains - General Questions,A jogger running at 9 kmph alongside a railway track in 240 metres ahead of the engine of a 120 metres long train running at 45 kmph in the same direction. In how much time will the train pass the jogger?,3.6 sec,18 sec,36 sec,72 sec,36 sec
Exercise : Problems on Trains - General Questions,A 270 metres long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 9 seconds. What is the length of the other train?,230 m,240 m,260 m,320 m,230 m
Exercise : Problems on Trains - General Questions,A goods train runs at the speed of 72 kmph and crosses a 250 m long platform in 26 seconds. What is the length of the goods train?,230 m,240 m,260 m,270 m,270 m
Exercise : Problems on Trains - General Questions,"Two trains, each 100 m long, moving in opposite directions, cross each other in 8 seconds. If one is moving twice as fast the other, then the speed of the faster train is:",30 km/hr,45 km/hr,60 km/hr,75 km/hr,60 km/hr
Exercise : Problems on Trains - General Questions,"Two trains 140 m and 160 m long run at the speed of 60 km/hr and 40 km/hr respectively in opposite directions on parallel tracks. The time (in seconds) which they take to cross each other, is:",9,9.6,10,10.8,10.8
Exercise : Problems on Trains - General Questions,A train 110 metres long is running with a speed of 60 kmph. In what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going?,5 sec,6 sec,7 sec,10 sec,6 sec
